date,ED_visits,avg_weather_C,avg_precip,avg_snow,is_holiday,is_weekend,season
1/12/2110,49,-0.9,0.10999999999999999,0,0,1,3
1/15/2110,2,-0.9,0.11,0,0,0,3
1/16/2110,7,-0.9,0.11,0,0,0,3
1/17/2110,12,-0.9,0.11,0,0,0,3
1/18/2110,14,-0.9,0.11,0,0,1,3
1/19/2110,4,-0.9,0.11,0,0,1,3
1/20/2110,13,-0.9,0.11,0,0,0,3
1/26/2110,4,-0.9,0.11,0,0,1,3
1/28/2110,2,-0.9,0.11,0,0,0,3
1/30/2110,5,-0.9,0.11000000000000001,0,0,0,3
2/2/2110,11,0.1,0.13,0.01,0,1,3
2/4/2110,6,0.10000000000000002,0.13,0.01,0,0,3
2/5/2110,13,0.1,0.13,0.01,0,0,3
2/6/2110,41,0.10000000000000002,0.13,0.01,0,0,3
2/7/2110,9,0.1,0.13,0.01,0,0,3
2/9/2110,41,0.10000000000000002,0.13,0.01,0,1,3
2/10/2110,16,0.1,0.13,0.01,0,0,3
2/12/2110,4,0.1,0.13,0.01,0,0,3
2/13/2110,4,0.1,0.13,0.01,0,0,3
2/14/2110,5,0.1,0.13,0.01,0,0,3
2/15/2110,4,0.1,0.13,0.01,0,1,3
2/16/2110,32,0.1,0.13,0.01,0,1,3
2/19/2110,1,0.1,0.13,0.01,0,0,3
2/21/2110,4,0.1,0.13,0.01,0,0,3
2/23/2110,5,0.1,0.13,0.01,0,1,3
2/24/2110,16,0.1,0.13,0.01,0,0,3
2/28/2110,5,0.1,0.13,0.01,0,0,3
3/1/2110,12,3.4,0.11,0,0,1,1
3/2/2110,5,3.4,0.11000000000000001,0,0,1,1
3/3/2110,7,3.4,0.11,0,0,0,1
3/5/2110,10,3.4,0.11000000000000001,0,0,0,1
3/7/2110,2,3.4,0.11,0,0,0,1
3/9/2110,12,3.4,0.11,0,0,1,1
3/11/2110,2,3.4,0.11,0,0,0,1
3/12/2110,9,3.4,0.11,0,0,0,1
3/13/2110,7,3.4,0.11,0,0,0,1
3/14/2110,33,3.4,0.11,0,0,0,1
3/17/2110,28,3.4,0.11,0,0,0,1
3/18/2110,9,3.4,0.11,0,0,0,1
3/20/2110,23,3.4,0.10999999999999999,0,0,0,1
3/21/2110,32,3.4,0.11,0,0,0,1
3/22/2110,2,3.4,0.11,0,0,1,1
3/25/2110,3,3.4,0.11,0,0,0,1
3/27/2110,10,3.4,0.11000000000000001,0,0,0,1
3/29/2110,42,3.3999999999999995,0.11,0,0,1,1
3/30/2110,3,3.4,0.11,0,0,1,1
3/31/2110,17,3.4,0.11,0,0,0,1
4/1/2110,2,9.6,0.13,0,0,0,1
4/2/2110,4,9.6,0.13,0,0,0,1
4/3/2110,12,9.6,0.13,0,0,0,1
4/8/2110,4,9.6,0.13,0,0,0,1
4/13/2110,17,9.6,0.13,0,0,1,1
4/15/2110,4,9.6,0.13,0,0,0,1
4/16/2110,14,9.6,0.13,0,0,0,1
4/17/2110,2,9.6,0.13,0,0,0,1
